timestamp_ns,mac,rssi
1770819482612073100,60:c0:bf:49:2a:e9,-54
1770819482615837900,60:c0:bf:49:2a:e9,-54
1770819482977190000,60:c0:bf:49:2a:e9,-53
1770819482981092400,60:c0:bf:49:2a:e9,-53
1770819489456688000,60:c0:bf:49:2a:e9,-59
1770819489469792700,60:c0:bf:49:2a:e9,-62
1770819489690756600,60:c0:bf:49:2a:e9,-62
1770819489694172300,60:c0:bf:49:2a:e9,-62
1770819549685697600,60:c0:bf:49:2a:e9,-127
1770820553657465500,60:c0:bf:49:2a:e9,-68
1770820553657465500,60:c0:bf:49:2a:e9,-71
1770820613665932800,60:c0:bf:49:2a:e9,-127
1770821445368240200,60:c0:bf:49:2a:e9,-49
1770821445374294600,60:c0:bf:49:2a:e9,-52
1770821445609801400,60:c0:bf:49:2a:e9,-53
1770821445609801400,60:c0:bf:49:2a:e9,-53
1770821445734159100,60:c0:bf:49:2a:e9,-57
1770821445738266700,60:c0:bf:49:2a:e9,-57
1770821505746048200,60:c0:bf:49:2a:e9,-127
1770821530339515400,60:c0:bf:49:2a:e9,-52
1770821530343549100,60:c0:bf:49:2a:e9,-52
1770821530663550700,60:c0:bf:49:2a:e9,-52
1770821530668452700,60:c0:bf:49:2a:e9,-52
1770821566093200000,60:c0:bf:49:2a:e9,-58
1770821566341922000,60:c0:bf:49:2a:e9,-56
1770821566345837900,60:c0:bf:49:2a:e9,-56
1770821614204592400,60:c0:bf:49:2a:e9,-61
1770821614208466600,60:c0:bf:49:2a:e9,-61
1770821614293592900,60:c0:bf:49:2a:e9,-57
1770821614299716500,60:c0:bf:49:2a:e9,-57
1770821614534446800,60:c0:bf:49:2a:e9,-59
1770821614535003500,60:c0:bf:49:2a:e9,-59
1770821674537649200,60:c0:bf:49:2a:e9,-127
1770822065302182000,60:c0:bf:49:2a:e9,-55
1770822065306500000,60:c0:bf:49:2a:e9,-55
1770822065411634600,60:c0:bf:49:2a:e9,-50
1770822065416706500,60:c0:bf:49:2a:e9,-53
1770822065532766100,60:c0:bf:49:2a:e9,-50
1770822065534604800,60:c0:bf:49:2a:e9,-50
1770822065662689600,60:c0:bf:49:2a:e9,-55
1770822065665792700,60:c0:bf:49:2a:e9,-55
1770822125654689200,60:c0:bf:49:2a:e9,-127
1770824259977735600,60:c0:bf:49:2a:e9,-66
1770824260329529400,60:c0:bf:49:2a:e9,-63
1770824260335046400,60:c0:bf:49:2a:e9,-63
1770824268240775100,60:c0:bf:49:2a:e9,-51
1770824268246420300,60:c0:bf:49:2a:e9,-54
1770824268266480600,60:c0:bf:49:2a:e9,-54
1770824268273172800,60:c0:bf:49:2a:e9,-54
1770824268376635800,60:c0:bf:49:2a:e9,-45
1770824268381043200,60:c0:bf:49:2a:e9,-44
1770824328383178600,60:c0:bf:49:2a:e9,-127
1770824383533053600,60:c0:bf:49:2a:e9,-54
1770824383543911400,60:c0:bf:49:2a:e9,-54
1770824393103277900,60:c0:bf:49:2a:e9,-47
1770824393114605800,60:c0:bf:49:2a:e9,-46
1770824393229654600,60:c0:bf:49:2a:e9,-51
1770824393235850500,60:c0:bf:49:2a:e9,-51
1770824395687198200,60:c0:bf:49:2a:e9,-55
1770824395695978000,60:c0:bf:49:2a:e9,-55
1770824396056500400,60:c0:bf:49:2a:e9,-53
1770824396068489000,60:c0:bf:49:2a:e9,-53
1770824399507214600,60:c0:bf:49:2a:e9,-54
1770824399514408400,60:c0:bf:49:2a:e9,-56
1770824399604695600,60:c0:bf:49:2a:e9,-60
1770824399609843400,60:c0:bf:49:2a:e9,-59
1770824399715293300,60:c0:bf:49:2a:e9,-53
1770824399722901800,60:c0:bf:49:2a:e9,-56
1770824399959102500,60:c0:bf:49:2a:e9,-54
1770824399963132900,60:c0:bf:49:2a:e9,-54
1770824402330673400,60:c0:bf:49:2a:e9,-51
1770824402332808000,60:c0:bf:49:2a:e9,-54
1770824402455858800,60:c0:bf:49:2a:e9,-54
1770824402459380800,60:c0:bf:49:2a:e9,-57
1770824402795959000,60:c0:bf:49:2a:e9,-52
1770824402802503800,60:c0:bf:49:2a:e9,-54
1770824402900039800,60:c0:bf:49:2a:e9,-54
1770824402907693600,60:c0:bf:49:2a:e9,-54
1770824403851993200,60:c0:bf:49:2a:e9,-54
1770824403862316100,60:c0:bf:49:2a:e9,-57
1770824404919519300,60:c0:bf:49:2a:e9,-54
1770824404922821700,60:c0:bf:49:2a:e9,-54
1770824406807612100,60:c0:bf:49:2a:e9,-57
1770824406809627300,60:c0:bf:49:2a:e9,-57
